loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,credit_category
1296,3,Graduate,No,1600000,3500000,10,844,4500000,2200000,5200000,1600000,Approved,13500000,Excellent
3772,2,Graduate,Yes,2700000,9500000,10,434,2700000,1500000,8100000,1800000,Rejected,14100000,Poor
294,0,Not Graduate,Yes,2900000,7600000,8,320,8000000,5600000,9600000,3100000,Rejected,26300000,Poor
1062,3,Not Graduate,No,300000,500000,2,477,700000,200000,800000,400000,Rejected,2100000,Poor
4190,4,Graduate,Yes,8600000,23300000,12,785,18800000,3800000,23500000,4500000,Approved,50600000,Excellent
1181,0,Graduate,No,3900000,14500000,8,545,5900000,3000000,10300000,3400000,Rejected,22600000,Fair
223,4,Not Graduate,Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,Rejected,28000000,Poor
1035,0,Graduate,No,9400000,33000000,4,616,15400000,5000000,25100000,7800000,Approved,53300000,Good
2452,5,Not Graduate,No,3200000,7400000,2,838,2200000,2900000,10200000,3600000,Approved,18900000,Excellent
574,3,Graduate,No,3100000,11000000,2,543,5900000,2200000,9000000,2400000,Approved,19500000,Fair
3750,0,Not Graduate,No,7900000,26200000,18,845,14200000,14700000,27400000,6300000,Approved,62600000,Excellent
3775,1,Graduate,No,3200000,7600000,4,592,3000000,1400000,8100000,4700000,Approved,17200000,Fair
813,5,Not Graduate,Yes,5200000,18100000,8,809,2400000,6900000,14000000,5500000,Approved,28800000,Excellent
1925,0,Graduate,Yes,5000000,19900000,6,748,8300000,8500000,11300000,3000000,Approved,31100000,Excellent
2423,2,Graduate,No,4600000,17500000,20,597,11400000,6100000,14100000,4100000,Approved,35700000,Fair
2119,1,Not Graduate,No,2800000,6800000,18,596,7900000,400000,7300000,1500000,Approved,17100000,Fair
419,0,Graduate,No,3100000,9300000,6,663,1300000,1400000,8100000,3800000,Approved,14600000,Good
3650,4,Not Graduate,Yes,2300000,7700000,16,589,6000000,4400000,6300000,2300000,Approved,19000000,Fair
81,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,17800000,Poor
258,2,Not Graduate,No,8000000,20000000,2,502,4100000,2200000,31600000,9900000,Rejected,47800000,Fair
296,1,Not Graduate,Yes,300000,1000000,10,431,400000,500000,900000,100000,Rejected,1900000,Poor
1660,1,Not Graduate,No,500000,1700000,2,680,700000,800000,1400000,700000,Approved,3600000,Good
1984,2,Not Graduate,Yes,1700000,5100000,18,321,2000000,2800000,5100000,1500000,Rejected,11400000,Poor
1243,4,Graduate,No,3500000,11600000,10,335,6300000,5200000,10300000,2300000,Rejected,24100000,Poor
1911,1,Graduate,No,1800000,5900000,16,804,800000,2500000,5000000,1000000,Approved,9300000,Excellent
3099,5,Graduate,Yes,5300000,18200000,16,546,14600000,7900000,13400000,4000000,Rejected,39900000,Fair
3818,4,Not Graduate,No,7400000,18300000,10,601,16400000,12600000,28800000,6100000,Approved,63900000,Good
3271,3,Not Graduate,Yes,1800000,6400000,20,436,1500000,2900000,4400000,1300000,Rejected,10100000,Poor
3329,5,Graduate,Yes,7200000,21300000,2,801,9900000,1700000,20400000,7200000,Approved,39200000,Excellent
1164,2,Graduate,No,4500000,9100000,18,593,-100000,600000,12400000,2500000,Approved,15400000,Fair
3259,0,Not Graduate,Yes,2000000,6900000,4,404,4900000,1600000,4200000,3000000,Approved,13700000,Poor
3404,5,Graduate,Yes,4800000,16300000,4,523,8800000,2300000,10000000,2800000,Approved,23900000,Fair
1058,0,Graduate,Yes,3800000,11200000,20,479,1100000,6400000,12000000,5400000,Rejected,24900000,Poor
4070,0,Not Graduate,No,9300000,31900000,2,331,7100000,11200000,23700000,8000000,Approved,50000000,Poor
377,5,Graduate,Yes,7700000,16800000,20,584,8600000,4800000,23400000,8000000,Approved,44800000,Fair
713,0,Graduate,Yes,6100000,19700000,16,678,13700000,2300000,19300000,5500000,Approved,40800000,Good
3189,5,Graduate,Yes,7100000,20100000,4,700,16900000,2900000,15600000,4500000,Approved,39900000,Good
1414,2,Not Graduate,Yes,1500000,5000000,4,613,4400000,1300000,5200000,2100000,Approved,13000000,Good
3506,2,Graduate,Yes,5700000,15100000,18,330,5900000,3800000,16600000,6200000,Rejected,32500000,Poor
2878,0,Not Graduate,No,6000000,20600000,12,339,3400000,10700000,17200000,8200000,Rejected,39500000,Poor
4033,2,Not Graduate,Yes,7000000,23800000,10,689,8400000,5400000,15700000,7800000,Approved,37300000,Good
843,0,Graduate,Yes,6700000,15600000,16,768,300000,1800000,26000000,3800000,Approved,31900000,Excellent
1833,0,Not Graduate,No,8400000,22300000,14,371,8300000,3700000,22300000,9100000,Rejected,43400000,Poor
450,3,Graduate,Yes,2900000,5800000,12,353,8400000,2600000,10100000,3100000,Rejected,24200000,Poor
1489,2,Graduate,No,2800000,11000000,16,525,8200000,1800000,5800000,2400000,Rejected,18200000,Fair
2940,1,Graduate,Yes,7000000,20300000,18,726,11600000,13100000,17100000,9000000,Approved,50800000,Excellent
3932,5,Graduate,Yes,3600000,12500000,12,795,10600000,2700000,11100000,4800000,Approved,29200000,Excellent
3793,5,Graduate,No,2800000,7200000,16,424,900000,5000000,6100000,3200000,Rejected,15200000,Poor
2223,1,Graduate,No,8600000,26700000,10,735,11800000,9100000,20700000,11200000,Approved,52800000,Excellent
1007,4,Graduate,Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000,Approved,17600000,Excellent
655,4,Graduate,No,9200000,30300000,10,607,24000000,16600000,29600000,8900000,Approved,79100000,Good
3804,0,Graduate,Yes,9400000,36100000,10,615,21200000,3800000,27400000,9100000,Approved,61500000,Good
4079,3,Graduate,Yes,7800000,20000000,14,727,4600000,7200000,17300000,8600000,Approved,37700000,Excellent
991,1,Graduate,Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,Approved,34500000,Good
737,2,Graduate,Yes,4300000,12200000,14,719,5100000,2600000,14000000,5700000,Approved,27400000,Excellent
1731,4,Graduate,Yes,3800000,14000000,6,711,9500000,7300000,14500000,3100000,Approved,34400000,Excellent
3910,1,Not Graduate,Yes,9100000,31400000,4,304,14100000,16700000,30200000,9600000,Approved,70600000,Poor
1109,4,Graduate,No,8100000,19000000,6,375,4100000,14500000,19100000,11900000,Rejected,49600000,Poor
412,1,Graduate,Yes,3500000,7200000,2,865,4100000,3200000,11900000,4200000,Approved,23400000,
2773,3,Graduate,Yes,6600000,16000000,10,510,1200000,4800000,13300000,6300000,Rejected,25600000,Fair
1458,5,Not Graduate,No,2700000,8300000,8,833,4600000,1300000,6800000,3300000,Approved,16000000,Excellent
1593,2,Not Graduate,Yes,7400000,14900000,20,627,15900000,10100000,19000000,10300000,Approved,55300000,Good
1468,1,Graduate,Yes,9000000,33500000,2,748,7900000,9800000,25700000,11500000,Approved,54900000,Excellent
4106,2,Graduate,Yes,2100000,8100000,4,592,2000000,2500000,7900000,2700000,Approved,15100000,Fair
2207,0,Not Graduate,Yes,700000,2000000,18,650,400000,1300000,2800000,500000,Approved,5000000,Good
2469,1,Graduate,No,2000000,5000000,6,876,500000,2900000,5800000,1500000,Approved,10700000,
2124,0,Graduate,No,4100000,15400000,16,304,3000000,5200000,16200000,3100000,Rejected,27500000,Poor
4185,2,Graduate,No,1500000,3300000,4,763,300000,1200000,5400000,700000,Approved,7600000,Excellent
658,5,Graduate,Yes,7100000,20800000,6,442,2900000,7100000,28200000,7100000,Rejected,45300000,Poor
2607,4,Graduate,Yes,2200000,5100000,6,308,3200000,2600000,6600000,3100000,Rejected,15500000,Poor
4144,0,Graduate,Yes,2500000,5400000,6,463,1900000,3500000,8200000,1800000,Rejected,15400000,Poor
4201,0,Graduate,Yes,6600000,21200000,18,377,1000000,9600000,14800000,9500000,Rejected,34900000,Poor
4069,4,Not Graduate,No,6200000,21900000,12,462,9400000,2000000,16600000,8300000,Rejected,36300000,Poor
2012,5,Graduate,Yes,6900000,18300000,4,402,12600000,13100000,23200000,6100000,Rejected,55000000,Poor
431,4,Not Graduate,Yes,9300000,27500000,18,338,21500000,500000,34900000,6600000,Rejected,63500000,Poor
3257,5,Graduate,No,4000000,9100000,10,515,600000,6400000,9900000,5500000,Rejected,22400000,Fair
1075,1,Graduate,No,6800000,22900000,4,501,3900000,9400000,17300000,4400000,Approved,35000000,Fair
1072,0,Graduate,Yes,3600000,8600000,6,529,3500000,3300000,11300000,5200000,Rejected,23300000,Fair
1892,5,Graduate,No,6700000,17700000,6,482,3200000,10400000,18500000,5700000,Rejected,37800000,Poor
153,1,Graduate,Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,39100000,Poor
1658,4,Not Graduate,No,3900000,9000000,2,674,8700000,5700000,14000000,3100000,Approved,31500000,Good
4225,5,Graduate,Yes,800000,1800000,8,881,300000,1100000,2600000,400000,Approved,4400000,
3409,0,Not Graduate,No,1900000,3800000,16,542,800000,500000,4000000,2100000,Rejected,7400000,Fair
103,2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,28800000,Good
1028,1,Not Graduate,No,9900000,38700000,6,670,19400000,12600000,35800000,6500000,Approved,74300000,Good
2260,4,Not Graduate,No,2400000,6000000,6,712,6800000,2200000,6000000,1200000,Approved,16200000,Excellent
1770,5,Graduate,Yes,6100000,22500000,6,776,17600000,9900000,13800000,4800000,Approved,46100000,Excellent
240,5,Graduate,Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,Rejected,28500000,Poor
1919,5,Graduate,No,3700000,14000000,2,469,3800000,600000,8000000,2800000,Approved,15200000,Poor
3129,1,Not Graduate,Yes,500000,1700000,18,617,400000,100000,1400000,500000,Approved,2400000,Good
109,1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,58500000,Excellent
2234,1,Graduate,Yes,7500000,21400000,20,655,13000000,10300000,28100000,8100000,Approved,59500000,Good
2246,4,Graduate,Yes,2500000,9000000,10,394,6700000,2000000,7300000,3000000,Rejected,19000000,Poor
2415,2,Not Graduate,Yes,3800000,12400000,8,340,1800000,2600000,9700000,2600000,Rejected,16700000,Poor
1074,1,Graduate,No,2700000,10000000,2,584,6500000,2700000,7700000,3400000,Approved,20300000,Fair
1451,5,Graduate,Yes,2600000,8600000,18,651,1000000,100000,7800000,2600000,Approved,11500000,Good
1177,1,Graduate,No,7900000,27100000,10,803,20000000,9800000,22200000,6600000,Approved,58600000,Excellent
2898,5,Not Graduate,No,6600000,13600000,4,861,11700000,8400000,14600000,5400000,Approved,40100000,
3974,1,Graduate,No,800000,2400000,16,872,2400000,1200000,1900000,900000,Approved,6400000,
3170,1,Not Graduate,Yes,8700000,27500000,16,815,8000000,13400000,23600000,5900000,Approved,50900000,Excellent
3952,5,Not Graduate,No,2800000,8200000,14,615,7400000,3300000,6700000,2700000,Approved,20100000,Good
3004,3,Graduate,Yes,4300000,12800000,16,346,3300000,1100000,11900000,3800000,Rejected,20100000,Poor
333,2,Not Graduate,Yes,4600000,18400000,2,555,7700000,2400000,14200000,4200000,Approved,28500000,Fair
2477,2,Graduate,Yes,8700000,26400000,2,778,8500000,2400000,28800000,10300000,Approved,50000000,Excellent
1069,1,Not Graduate,Yes,200000,400000,6,768,300000,100000,600000,0,Approved,1000000,Excellent
3306,0,Not Graduate,Yes,6100000,15900000,18,456,12900000,10800000,19100000,8800000,Rejected,51600000,Poor
1085,4,Not Graduate,No,8900000,21100000,6,631,4200000,200000,25800000,6200000,Approved,36400000,Good
1026,5,Not Graduate,No,6100000,23600000,4,725,17400000,5100000,15600000,4800000,Approved,42900000,Excellent
1787,3,Not Graduate,No,6200000,13200000,14,707,17200000,8900000,23100000,4200000,Approved,53400000,Excellent
3880,3,Graduate,Yes,8100000,19900000,20,347,22800000,14400000,29800000,5500000,Rejected,72500000,Poor
1118,0,Not Graduate,No,8200000,20300000,4,666,13100000,10200000,25900000,7800000,Approved,57000000,Good
3224,4,Graduate,No,7400000,17500000,4,540,8800000,7600000,17900000,3600000,Rejected,37900000,Fair
2707,4,Not Graduate,Yes,1100000,3000000,4,730,300000,600000,3600000,1100000,Approved,5600000,Excellent
1973,1,Graduate,Yes,8300000,17700000,10,673,23700000,5300000,28700000,4200000,Approved,61900000,Good
819,2,Not Graduate,No,6500000,14100000,2,709,1000000,12700000,20900000,4000000,Approved,38600000,Excellent
2375,0,Not Graduate,No,4800000,19000000,12,650,7000000,1000000,15600000,4800000,Approved,28400000,Good
4213,0,Not Graduate,No,200000,600000,12,683,400000,200000,400000,0,Approved,1000000,Good
1321,1,Not Graduate,No,4900000,14800000,12,895,8600000,8200000,18300000,5200000,Approved,40300000,
4189,4,Graduate,No,5800000,18500000,16,436,1400000,5500000,17100000,6500000,Rejected,30500000,Poor
817,4,Graduate,Yes,7200000,23100000,14,644,13300000,3500000,18300000,4200000,Approved,39300000,Good
3216,2,Graduate,Yes,4000000,13000000,10,552,3700000,1600000,15600000,3400000,Approved,24300000,Fair
3450,1,Graduate,Yes,7000000,16000000,4,554,13000000,8600000,26600000,7900000,Approved,56100000,Fair
777,5,Not Graduate,No,3100000,10800000,10,681,5100000,1700000,7400000,1500000,Approved,15700000,Good
3240,3,Not Graduate,Yes,4100000,13900000,20,383,1900000,2300000,15800000,3800000,Rejected,23800000,Poor
1908,2,Graduate,No,3200000,6300000,10,339,300000,4900000,7300000,2700000,Rejected,15200000,Poor
1492,1,Not Graduate,No,3900000,15100000,12,527,10600000,5100000,11100000,3800000,Rejected,30600000,Fair
2548,2,Not Graduate,No,1400000,2900000,12,490,600000,1600000,5500000,1300000,Rejected,9000000,Poor
3199,3,Not Graduate,No,5200000,17200000,18,768,9200000,5500000,11700000,3800000,Approved,30200000,Excellent
3211,5,Not Graduate,Yes,7600000,16500000,8,534,8900000,10300000,24900000,8300000,Rejected,52400000,Fair
2099,1,Graduate,Yes,4900000,15200000,10,429,5700000,7300000,14400000,3300000,Rejected,30700000,Poor
1938,2,Graduate,No,1700000,3700000,20,558,4100000,1400000,5000000,2500000,Approved,13000000,Fair
1422,4,Not Graduate,No,7100000,14300000,14,537,13700000,10400000,18200000,6100000,Rejected,48400000,Fair
865,0,Not Graduate,Yes,7200000,20700000,10,733,15600000,12000000,19200000,9900000,Approved,56700000,Excellent
3140,3,Not Graduate,Yes,300000,600000,10,515,300000,200000,1000000,200000,Rejected,1700000,Fair
2619,2,Not Graduate,Yes,3800000,15000000,14,730,10800000,2900000,10700000,3600000,Approved,28000000,Excellent
555,3,Not Graduate,Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000,Rejected,62500000,Poor
1089,4,Not Graduate,Yes,7800000,19500000,14,739,1900000,9000000,20400000,4400000,Approved,35700000,Excellent
1407,4,Graduate,No,7900000,31400000,8,698,16500000,11400000,28700000,5100000,Approved,61700000,Good
1455,3,Not Graduate,Yes,300000,1000000,12,469,600000,400000,700000,300000,Rejected,2000000,Poor
2965,2,Not Graduate,No,3100000,9000000,20,892,5000000,5600000,7100000,4000000,Approved,21700000,
3928,1,Not Graduate,Yes,700000,1800000,16,641,2100000,400000,1600000,900000,Approved,5000000,Good
1941,0,Graduate,No,8600000,29000000,18,481,21200000,2600000,27700000,5400000,Rejected,56900000,Poor
2567,4,Not Graduate,Yes,2200000,8600000,2,461,1400000,3000000,4700000,2100000,Approved,11200000,Poor
867,0,Not Graduate,Yes,8900000,23000000,12,741,5600000,11200000,27100000,7100000,Approved,51000000,Excellent
753,1,Graduate,Yes,8100000,31700000,10,755,0,12700000,30100000,4700000,Approved,47500000,Excellent
3945,0,Graduate,No,8900000,21600000,10,552,2300000,9900000,20700000,11900000,Approved,44800000,Fair
3039,4,Not Graduate,Yes,6400000,23900000,6,300,16200000,11600000,24900000,7000000,Rejected,59700000,Poor
3615,5,Graduate,No,2500000,6400000,16,590,3200000,3900000,5800000,3500000,Approved,16400000,Fair
1906,1,Graduate,Yes,8700000,33900000,10,766,16300000,700000,19500000,9000000,Approved,45500000,Excellent
730,0,Graduate,No,7100000,15900000,14,746,9500000,3900000,23500000,8000000,Approved,44900000,Excellent
1924,0,Graduate,No,300000,700000,16,779,200000,0,1000000,400000,Approved,1600000,Excellent
1594,4,Not Graduate,Yes,1500000,3200000,10,858,1500000,0,4700000,1700000,Approved,7900000,
1437,3,Graduate,No,5300000,15000000,6,717,7000000,4100000,17100000,5300000,Approved,33500000,Excellent
1290,2,Not Graduate,No,1500000,4500000,18,428,4500000,1200000,5600000,1100000,Rejected,12400000,Poor
3057,5,Graduate,No,6300000,18100000,4,590,5400000,10900000,22400000,8600000,Approved,47300000,Fair
347,5,Graduate,Yes,8000000,28000000,10,449,18500000,1500000,17400000,3900000,Rejected,41300000,Poor
2919,1,Not Graduate,Yes,6500000,18300000,10,722,11900000,8600000,19200000,4500000,Approved,44200000,Excellent
3886,2,Not Graduate,Yes,4500000,16600000,4,679,10300000,3100000,11700000,5000000,Approved,30100000,Good
579,5,Graduate,No,6800000,20500000,10,578,500000,11800000,27200000,3400000,Approved,42900000,Fair
3663,3,Not Graduate,Yes,5500000,20400000,10,546,10600000,8200000,13500000,4000000,Rejected,36300000,Fair
2630,0,Not Graduate,Yes,5600000,20000000,20,606,7100000,500000,20000000,7600000,Approved,35200000,Good
2032,5,Graduate,Yes,4400000,10600000,20,806,9700000,3600000,10800000,2500000,Approved,26600000,Excellent
1972,4,Not Graduate,No,400000,900000,18,339,700000,200000,800000,200000,Rejected,1900000,Poor
2367,4,Graduate,Yes,3900000,13300000,20,453,9800000,500000,12300000,4700000,Rejected,27300000,Poor
179,4,Not Graduate,No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,Approved,37300000,
4239,0,Not Graduate,No,2200000,7500000,2,333,3400000,600000,6200000,1500000,Approved,11700000,Poor
1927,4,Graduate,No,5300000,15800000,2,527,3800000,5200000,19700000,3900000,Rejected,32600000,Fair
3664,5,Graduate,Yes,4500000,17100000,2,639,10600000,7500000,12000000,6500000,Approved,36600000,Good
1510,3,Graduate,No,1000000,2800000,4,757,2500000,100000,3800000,900000,Approved,7300000,Excellent
605,2,Graduate,Yes,4300000,16000000,14,623,9800000,6700000,17000000,4500000,Approved,38000000,Good
3598,5,Not Graduate,Yes,4000000,15500000,12,517,0,600000,12100000,3500000,Rejected,16200000,Fair
26,5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,20200000,Fair
3978,5,Graduate,Yes,7600000,18000000,12,452,7900000,4300000,23800000,4700000,Rejected,40700000,Poor
2426,0,Not Graduate,No,6000000,22900000,16,302,12200000,6500000,17700000,7100000,Rejected,43500000,Poor
1546,2,Not Graduate,Yes,8200000,27800000,16,827,11500000,8700000,26000000,10700000,Approved,56900000,Excellent
174,2,Not Graduate,Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Rejected,49500000,Poor
3406,1,Graduate,Yes,3400000,7000000,4,534,3100000,1600000,13000000,4000000,Rejected,21700000,Fair
332,3,Not Graduate,Yes,8200000,20600000,10,441,16100000,11400000,29100000,6100000,Rejected,62700000,Poor
343,4,Graduate,No,8000000,30100000,4,431,11900000,13800000,18800000,11500000,Approved,56000000,Poor
2330,4,Graduate,Yes,9000000,30400000,20,532,21000000,7400000,30500000,13100000,Rejected,72000000,Fair
480,1,Not Graduate,Yes,700000,2700000,20,669,100000,1000000,2600000,500000,Approved,4200000,Good
728,3,Not Graduate,Yes,2200000,8800000,2,877,5000000,1300000,6400000,3100000,Approved,15800000,
1863,2,Not Graduate,Yes,200000,600000,8,552,400000,200000,700000,200000,Approved,1500000,Fair
977,4,Not Graduate,No,8200000,20700000,10,546,10800000,7000000,25000000,10600000,Rejected,53400000,Fair
3186,5,Graduate,No,6300000,22500000,18,629,300000,3900000,23100000,8000000,Approved,35300000,Good
1217,0,Graduate,No,400000,1200000,4,766,900000,300000,1200000,300000,Approved,2700000,Excellent
1587,5,Graduate,No,6400000,21500000,16,728,300000,5200000,17400000,9600000,Approved,32500000,Excellent
3985,4,Not Graduate,Yes,7100000,19400000,16,363,17900000,2600000,22600000,4000000,Rejected,47100000,Poor
1264,3,Not Graduate,Yes,6300000,17700000,2,542,16800000,900000,16400000,5300000,Rejected,39400000,Fair
2227,1,Not Graduate,Yes,400000,1500000,16,688,400000,300000,1200000,200000,Approved,2100000,Good
1262,3,Graduate,No,3900000,14100000,16,496,2500000,2200000,13700000,2900000,Rejected,21300000,Poor
2970,4,Graduate,No,4500000,15800000,14,439,8900000,6900000,15200000,4400000,Rejected,35400000,Poor
3082,3,Not Graduate,Yes,8200000,28900000,10,447,4400000,14700000,29400000,6800000,Rejected,55300000,Poor
2634,0,Graduate,No,7300000,16100000,2,490,7600000,1400000,21800000,10700000,Rejected,41500000,Poor
3212,4,Graduate,No,1200000,2600000,8,872,1600000,2100000,2700000,900000,Approved,7300000,
1221,0,Graduate,Yes,9000000,34000000,4,549,2000000,8900000,20000000,12400000,Approved,43300000,Fair
2329,5,Graduate,No,3200000,10600000,2,432,6500000,3700000,11200000,3700000,Approved,25100000,Poor
2863,4,Graduate,No,9900000,30000000,18,496,10400000,8000000,29300000,13800000,Rejected,61500000,Poor
2068,2,Not Graduate,No,7200000,17000000,10,856,18100000,12700000,15800000,6000000,Approved,52600000,
68,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,9200000,Good
1187,2,Not Graduate,No,4400000,12000000,20,421,9300000,2700000,15700000,3400000,Rejected,31100000,Poor
222,3,Graduate,Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,Approved,51100000,Good
3124,1,Not Graduate,Yes,9700000,24700000,14,600,13600000,14000000,35500000,6700000,Approved,69800000,Fair
1282,3,Graduate,No,7700000,27700000,4,439,13900000,7500000,27100000,6200000,Approved,54700000,Poor
3079,3,Graduate,No,7800000,28700000,4,447,7200000,9500000,20100000,11300000,Approved,48100000,Poor
89,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,14500000,Excellent
2035,1,Graduate,Yes,3100000,9200000,16,374,2400000,3500000,7100000,3500000,Rejected,16500000,Poor
3021,2,Not Graduate,Yes,1200000,4500000,10,555,100000,1100000,2700000,1400000,Approved,5300000,Fair
3159,3,Not Graduate,Yes,3800000,13700000,16,662,4800000,400000,12400000,5300000,Approved,22900000,Good
2334,2,Not Graduate,No,4400000,16500000,16,879,7800000,7500000,10300000,5400000,Approved,31000000,
1962,4,Not Graduate,No,5300000,10700000,12,821,15400000,10200000,17600000,2600000,Approved,45800000,Excellent
3865,5,Not Graduate,Yes,1100000,3900000,4,891,1100000,200000,3400000,900000,Approved,5600000,
2866,1,Not Graduate,Yes,5600000,21000000,2,552,3200000,6300000,22100000,6100000,Approved,37700000,Fair
3700,3,Not Graduate,Yes,5300000,19500000,4,591,13200000,4700000,19800000,7900000,Approved,45600000,Fair
3647,0,Graduate,Yes,9000000,27800000,8,712,900000,6700000,24400000,5800000,Approved,37800000,Excellent
4019,4,Graduate,Yes,9700000,33300000,12,784,14600000,15800000,37900000,6500000,Approved,74800000,Excellent
